장례식장명,요금카테고리,상품/항목명,가격,상품설명
스타펫,선택 서비스 및 용품,오동나무 일반관,"70,000원~",표준 오동나무 재질 관
스타펫,선택 서비스 및 용품,특수제작 고급관,"100,000원~",고급 오동나무 특수 제작 관
스타펫,선택 서비스 및 용품,기능성 유골함,"100,000원~",훼손 방지 이중 유골함
스타펫,선택 서비스 및 용품,캄포 원목함,"150,000원",항균 및 방충 효과의 캄포 원목 함
스타펫,선택 서비스 및 용품,메모리얼 스톤,"150,000원~",스타크리스탈 수작업 제작
스타펫,선택 서비스 및 용품,산골 서비스,"30,000원",정해진 장소에 뿌려주는 서비스
스토리펫,기본 장례 비용,1kg 이하,"180,000원",1kg 이하 소형 반려동물 기본 장례 비용
스토리펫,기본 장례 비용,5kg 이하,"250,000원",5kg 이하 반려동물 기본 장례 비용
스토리펫,기본 장례 비용,무게 추가 비용,"10,000원",1kg 추가당 추가 요금 발생
스토리펫,기본 장례 비용,20kg 이상 대형견,별도 문의,20kg 이상 대형견/동물을 위한 특수 장례
스토리펫,장례 용품 안내,유골함 / 수의 / 관,별도 문의,개별 맞춤형 용품 선택 후 결정됩니다
씨엘로펫,장례 패키지,베이직 장례 (5kg 미만),"200,000원",-
씨엘로펫,장례 패키지,프리미엄 장례,"450,000원",-
씨엘로펫,추가 옵션,염습,"50,000원",-
씨엘로펫,추가 옵션,수의,"30,000원~",-
씨엘로펫,추가 옵션,기능성 유골함,"100,000원~",-
아리아펫,등록 요금 정보 없음,-,전화 문의,-
아이드림펫,"기본 화장 비용 (헌화, 추모키트, 기본함 포함 / VAT 포함)",기본 장례 (10kg 이하),"250,000원","개별화장, 추모세트, 기본유골함 포함"
아이드림펫,"기본 화장 비용 (헌화, 추모키트, 기본함 포함 / VAT 포함)",체중 초과 비용,"+20,000원",10kg 초과 시 1kg당 가산 비용
아이드림펫,장례 패키지 (VAT 포함),Package #1 (수의/관),"450,000원","기본 + 삼베수의, 오동나무관, 꽃다발, 고급액자"
아이드림펫,장례 패키지 (VAT 포함),Package #2 (요람),"550,000원","기본 + 요람 및 목화솜 이불 세트, 꽃장식, 고급액자"
아이드림펫,장례 패키지 (VAT 포함),Package #3 (프리미엄),"1,200,000원","기본 + 모시수의, 오동나무관, 반려석 제작, 호두나무함, 꽃장식 등"
아이드림펫,선택 서비스 (VAT 포함),반려석 제작,"300,000원",영구 보존 가능한 메모리얼 스톤 제작
아이드림펫,선택 서비스 (VAT 포함),픽업 서비스,별도문의,거리에 따른 차등 요금 (편도/왕복 가능)
아이들랜드,장례 서비스 (5kg 기준 / VAT 별도),아이들랜드 화장,"250,000원",개별화장 단품
아이들랜드,장례 서비스 (5kg 기준 / VAT 별도),아이들랜드 기본예식,"350,000원",염습+추모실+화장+오동나무관+기본함
아이들랜드,봉안당 안치 (1년 기준 / VAT 별도),천국실 (고급형),"200,000원",고급형 봉안당 안치 (추가 관리비 없음)
아이들랜드,봉안당 안치 (1년 기준 / VAT 별도),VIP실,"400,000원",VIP 전용 봉안당 안치 (추가 관리비 없음)
아이별,장례 서비스 (체중 5kg 미만 기준),기본 장례,"250,000원",염습+단독추모실+개별화장+국화헌화+백자유골함
아이별,장례 서비스 (체중 5kg 미만 기준),럭셔리 장례,"450,000원",염습+단독추모실+고급오동나무관+고급수의+개별화장+국화헌화+고급유골함
아이별,장례 서비스 (체중 5kg 미만 기준),프리미엄 장례,"600,000원",염습+단독추모실+최고급관+최고급수의+개별화장+국화헌화+기능성유골함+액자
아이헤븐,"일반 장례 (체중 5kg 이하 기준, 부가세 별도)",헤븐 장례,"250,000원",염습·단독추모실·개별화장·청자 유골함
아이헤븐,"일반 장례 (체중 5kg 이하 기준, 부가세 별도)",헤븐 고급 장례,"450,000원",헤븐 장례 + 고급 수의 + 고급 오동나무관
아이헤븐,"일반 장례 (체중 5kg 이하 기준, 부가세 별도)",헤븐 최고급 장례,"1,000,000원",헤븐 고급 장례 + 무지개 유골함 + 헤븐 하우스 등
아이헤븐,"루세떼 장례 (체중 5kg 이하 기준, 부가세 별도)",루세떼 장례,"800,000원",헤븐 장례 서비스 + 루세떼 제작 + 유리 봉안함
아이헤븐,"루세떼 장례 (체중 5kg 이하 기준, 부가세 별도)",루세떼 고급 장례,"1,000,000원",헤븐 고급 장례 서비스 + 루세떼 제작 + 유리 봉안함
아이헤븐,"루세떼 장례 (체중 5kg 이하 기준, 부가세 별도)",루세떼 최고급 장례,"1,400,000원",헤븐 최고급 장례 서비스 + 최고급 호두나무 루세떼함
어게인,기본 화장 비용 (몸무게별),1kg 미만 (소동물),"180,000원","염습, 단독 추모실, 개별 화장, 기본 유골함 등 포함"
어게인,기본 화장 비용 (몸무게별),5kg 미만,"200,000원","염습, 단독 추모실, 개별 화장, 기본 유골함 등 포함"
어게인,기본 화장 비용 (몸무게별),5kg ~ 10kg,"230,000원","염습, 단독 추모실, 개별 화장, 기본 유골함 등 포함"
어게인,기본 화장 비용 (몸무게별),10kg ~ 15kg,"280,000원","염습, 단독 추모실, 개별 화장, 기본 유골함 등 포함"
어게인,기본 화장 비용 (몸무게별),15kg ~ 20kg,"350,000원","염습, 단독 추모실, 개별 화장, 기본 유골함 등 포함"
어게인,선택 항목 및 장례용품,오동나무 관 (소동물),"30,000원~",소동물 전용 규격 관
어게인,선택 항목 및 장례용품,오동나무 관,"100,000원~",일반 규격 오동나무 관 예약
어게인,선택 항목 및 장례용품,최고급 요람,"200,000원~",최고급 소재 요람으로 수습
어게인,선택 항목 및 장례용품,삼베 수의,"80,000원~",전통 삼베 수의 제공
어게인,선택 항목 및 장례용품,기능성 유골함,"100,000원~",반영구 훼손 방지용 보관함
어게인,선택 항목 및 장례용품,메모리얼 스톤 (소동물),"50,000원~",소동물 유골 보석화 (스톤) 작업
어게인,선택 항목 및 장례용품,메모리얼 스톤 (일반),"200,000원~",일반 동물 스톤 제작
엔젤스톤,기본 화장 비용 (체중별),1kg 미만,"220,000원",가장 작은 소형 반려동물 기본 화장
엔젤스톤,기본 화장 비용 (체중별),1kg ~ 5kg 미만,"250,000원",일반적인 소형 반려동물 화장
엔젤스톤,기본 화장 비용 (체중별),5kg ~ 15kg 미만,"280,000 ~ 300,000원","10kg 미만 28만원, 15kg 미만 30만원"
엔젤스톤,기본 화장 비용 (체중별),15kg 이상 대형견,"330,000원 부터",이후 무게 5kg 증가시 마다 점진적 차등 요금 적용
엔젤스톤,엔젤스톤(메모리얼 스톤) 제작,수습 유골분 10g 이하,"110,000원",수습된 유골 무게 10g 기준 소형 체급 스톤화 기본 단위
엔젤스톤,엔젤스톤(메모리얼 스톤) 제작,유골분 11g ~ 60g 이하,"200,000 ~ 290,000원","유골 무게 기준 30g 내외 20만원, 60g 내외 29만원 차등"
엔젤스톤,엔젤스톤(메모리얼 스톤) 제작,유골분 60g 초과 시,"380,000원 부터",이후 유골 무게 약 30g 증가 시 마다 9만원 상당 가산
엔젤스톤,장례 용품 (선택 옵션),인견 수의,"80,000 ~ 200,000원","소형(8만), 중형(10만), 대형(12만), 특대 이상 별도"
엔젤스톤,장례 용품 (선택 옵션),오동나무 관,"30,000 ~ 250,000원",미니(3만) 부터 특대(25만) 까지 사이즈별 요금 차등
오수펫추모공원,기본 화장 비용 (일반/소동물),일반동물 주간 화장 (5kg),"200,000원",일반 반려동물 (오전 9시~오후 6시 전)
오수펫추모공원,기본 화장 비용 (일반/소동물),일반동물 야간 화장 (할일가),"230,000원",오후 6시 이후 도착 시 야간 적용
오수펫추모공원,기본 화장 비용 (일반/소동물),체중 초과 화장 추가금,"9,000원",5kg 초과 시 1kg당 가산
오수펫추모공원,기본 화장 비용 (일반/소동물),특수 및 소동물 (1kg 미만),"150,000원","햄스터, 고슴도치, 토끼 등"
오수펫추모공원,별도 선택 비용 (장례용품 및 스톤),염습,"50,000원~",장례지도사의 정갈한 수습
오수펫추모공원,별도 선택 비용 (장례용품 및 스톤),수의,"90,900원~",아름다운 이별 준비복
오수펫추모공원,별도 선택 비용 (장례용품 및 스톤),관 / 수목장 유골함,"109,000원~","관(109,000~), 수목장 유골함(136,000~)"
오수펫추모공원,별도 선택 비용 (장례용품 및 스톤),기능성 유골함,"126,500원~",반영구 훼손 차단 보존
오수펫추모공원,별도 선택 비용 (장례용품 및 스톤),로시오 스톤 제작,"230,000원~",고유 보석 스톤 제작
오수펫추모공원,"추모관 (안치 비용, 1년)",봉안당 1단 특가,"100,000원",정상 30만 -> 할인가 10만
오수펫추모공원,"추모관 (안치 비용, 1년)",봉안당 2단 / 6단,"200,000원",정상 40만 -> 할인가 20만
오수펫추모공원,"추모관 (안치 비용, 1년)",로얄층 (3/4/5단),"400,000원",정상 50만 -> 할인가 40만
오수펫추모공원,"추모관 (안치 비용, 1년)",자연장지 (잔디 평장),"150,000원",야외 잔디밭 안치
오수펫추모공원,"추모관 (안치 비용, 1년)",자연장지 (수목장),"300,000원~",수목 아래 자연 안치
우바스,개별화장 (기본),"소동물 (햄스터, 앵무새 등)","150,000원","개별화장, 추모실 사용"
우바스,개별화장 (기본),1kg 미만,"180,000원","개별화장, 추모실 사용"
우바스,개별화장 (기본),5kg 미만,"200,000원","개별화장, 추모실 사용"
우바스,장례 용품 (선택),수의 (고급 삼베),"200,000원 ~ 400,000원",규격 및 재질에 따른 차등
우바스,장례 용품 (선택),관 (오동나무),"150,000원 ~ 600,000원",규격 및 재질에 따른 차등
우바스,장례 용품 (선택),유골함 (기능성 도자기),"100,000원 ~ 300,000원",기능성 도자기 유골함
우바스,메모리얼 스톤 / 안치,메모리얼 스톤 제작,"250,000원 ~",유골 100% 스톤 제작
우바스,메모리얼 스톤 / 안치,봉안실 안치 (1년),"100,000원 ~ 500,000원",일반실/특실 구분
우바스,메모리얼 스톤 / 안치,수목장,"500,000원",자연 친화적 수목장
위드엔젤,일반 동물 장례 패키지 (5kg 미만 기준),기본 장례,"250,000원",기본 화장 등 필수 장례 절차 지원
